16:32:37.799 [INFO] cli_log::init: Starting git-ai v3.0.0 with log level DEBUG
16:33:15.141 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:15.407 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:15.671 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:15.937 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:16.196 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:16.452 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:16.710 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:16.967 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:17.225 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:17.484 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:17.744 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:18.002 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:18.258 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:18.515 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:18.772 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:19.028 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:19.289 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:19.555 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:19.813 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.069 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.326 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.369 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.377 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.393 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.401 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.410 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.426 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.434 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.446 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
